2026-04-18 17:24:08.400 | INFO     | rid=- | __main__:<module>:197 - 启动模式：开发

2026-04-18 17:24:10.569 | INFO     | rid=- | main:lifespan:87 - ==================================================

2026-04-18 17:24:10.569 | INFO     | rid=- | main:lifespan:88 - 办公文档智能分类与检索系统启动中...

2026-04-18 17:24:10.569 | INFO     | rid=- | main:lifespan:89 - ==================================================

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:93 - 确保目录存在：/home/zyq/DocAgentRAG/backend/doc

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:93 - 确保目录存在：/home/zyq/DocAgentRAG/backend/data

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/pdf

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/word

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/excel

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/ppt

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/eml

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/txt

2026-04-18 17:24:10.570 | INFO     | rid=- | main:lifespan:98 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/image

2026-04-18 17:24:10.570 | INFO     | rid=- | main:sync_doubao_llm_availability:45 - LLM provider: Doubao, model: doubao-seed-2-0-mini-260215

2026-04-18 17:24:10.644 | INFO     | rid=- | logging:callHandlers:1762 - 4 changes detected

2026-04-18 17:24:10.727 | INFO     | rid=- | main:lifespan:110 - document audit: sqlite=%s local_files=%s legacy_json=%s untracked=%s pending=%s lightrag=%s registered_local_only=%s

2026-04-18 17:24:10.727 | INFO     | rid=- | main:lifespan:121 - ==================================================

2026-04-18 17:24:10.727 | INFO     | rid=- | main:lifespan:122 - 系统启动完成！

2026-04-18 17:24:10.727 | INFO     | rid=- | main:lifespan:123 - ==================================================

2026-04-18 17:24:10.998 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:11.349 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:11.700 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:12.051 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:12.402 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:12.753 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:13.105 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:13.457 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:13.808 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:14.159 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:14.510 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:14.861 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:15.212 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:15.563 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:15.915 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:16.266 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:16.617 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:16.969 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:17.320 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:17.672 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:18.023 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:18.375 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:18.725 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:19.077 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:19.428 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:19.779 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:20.130 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:20.482 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:20.834 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:20.900 | INFO     | rid=be9cde79-17bd-4c2f-b67a-17158d8e1586 | app.core.logger:dispatch:169 - request_started method=GET path=/health client_ip=127.0.0.1

2026-04-18 17:24:20.939 | INFO     | rid=be9cde79-17bd-4c2f-b67a-17158d8e1586 | app.core.logger:dispatch:191 - request_completed method=GET path=/health status_code=200 duration_ms=38.51

2026-04-18 17:24:21.185 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

2026-04-18 17:24:21.537 | INFO     | rid=- | logging:callHandlers:1762 - 1 change detected

