2026-04-21 07:45:56.887 | INFO     | rid=- | __main__:<module>:398 - 启动模式：生产 host=0.0.0.0 port=6008 workers=1

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:227 - ==================================================

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:228 - 办公文档智能分类与检索系统启动中...

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:229 - ==================================================

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:233 - 确保目录存在：/home/zyq/DocAgentRAG/backend/doc

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:233 - 确保目录存在：/home/zyq/DocAgentRAG/backend/data

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/pdf

2026-04-21 07:45:56.956 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/word

2026-04-21 07:45:56.957 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/excel

2026-04-21 07:45:56.957 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/ppt

2026-04-21 07:45:56.957 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/eml

2026-04-21 07:45:56.957 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/txt

2026-04-21 07:45:56.957 | INFO     | rid=- | main:lifespan:238 - 创建文件类型目录：/home/zyq/DocAgentRAG/backend/doc/image

2026-04-21 07:45:56.957 | INFO     | rid=- | main:sync_doubao_llm_availability:61 - LLM provider: Doubao, model: doubao-seed-2-0-mini-260215

2026-04-21 07:45:57.013 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:8011/health "HTTP/1.1 200 OK"

2026-04-21 07:45:57.037 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:9621/health "HTTP/1.1 200 OK"

2026-04-21 07:45:57.037 | INFO     | rid=- | main:lifespan:250 - runtime state: local_embedding=healthy lightrag=healthy

2026-04-21 07:45:57.589 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:9621/health "HTTP/1.1 200 OK"

2026-04-21 07:45:57.608 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:8011/health "HTTP/1.1 200 OK"

2026-04-21 07:45:57.609 | INFO     | rid=- | main:lifespan:258 - document audit: sqlite=24 local_files=23 legacy_json=32 untracked=0 pending=7 lightrag=healthy registered_local_only=0

2026-04-21 07:45:57.609 | INFO     | rid=- | main:lifespan:280 - ==================================================

2026-04-21 07:45:57.609 | INFO     | rid=- | main:lifespan:281 - 系统启动完成！

2026-04-21 07:45:57.609 | INFO     | rid=- | main:lifespan:282 - ==================================================

2026-04-21 07:45:57.633 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:9621/health "HTTP/1.1 200 OK"

2026-04-21 07:45:57.660 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: POST http://127.0.0.1:9621/documents/reprocess_failed "HTTP/1.1 200 OK"

2026-04-21 07:45:57.786 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:9621/documents/track_status/upload_20260419_172139_c10768c4 "HTTP/1.1 200 OK"

2026-04-21 07:45:57.812 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:8011/health "HTTP/1.1 200 OK"

2026-04-21 07:45:57.929 | INFO     | rid=fdef6cda-5937-4b87-bc57-f3f6a8e81fcd | app.core.logger:dispatch:169 - request_started method=GET path=/health client_ip=127.0.0.1

2026-04-21 07:45:58.235 | INFO     | rid=fdef6cda-5937-4b87-bc57-f3f6a8e81fcd | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:9621/health "HTTP/1.1 200 OK"

2026-04-21 07:45:58.270 | INFO     | rid=fdef6cda-5937-4b87-bc57-f3f6a8e81fcd | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:8011/health "HTTP/1.1 200 OK"

2026-04-21 07:45:58.271 | INFO     | rid=fdef6cda-5937-4b87-bc57-f3f6a8e81fcd | app.core.logger:dispatch:191 - request_completed method=GET path=/health status_code=200 duration_ms=341.82

2026-04-21 07:45:58.279 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: POST http://127.0.0.1:9621/documents/upload "HTTP/1.1 200 OK"

2026-04-21 07:45:58.305 | INFO     | rid=- | logging:callHandlers:1762 - HTTP Request: GET http://127.0.0.1:9621/documents/track_status/upload_20260419_172139_c10768c4 "HTTP/1.1 200 OK"

2026-04-21 07:45:58.814 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:00.357 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2704

2026-04-21 07:46:00.441 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:01.415 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=3300

2026-04-21 07:46:01.439 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:03.257 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=3528

2026-04-21 07:46:03.268 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:04.610 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=3441

2026-04-21 07:46:04.619 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:06.422 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2745

2026-04-21 07:46:06.436 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:07.667 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2745

2026-04-21 07:46:07.678 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:08.756 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2705

2026-04-21 07:46:08.762 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:09.879 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2887

2026-04-21 07:46:09.896 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:11.814 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2705

2026-04-21 07:46:11.826 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:13.426 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2887

2026-04-21 07:46:13.437 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:15.221 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2758

2026-04-21 07:46:15.229 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:16.457 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2758

2026-04-21 07:46:16.472 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:17.977 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=3506

2026-04-21 07:46:17.989 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:19.220 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2695

2026-04-21 07:46:19.228 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:20.334 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2695

2026-04-21 07:46:20.348 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:21.773 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=2569

2026-04-21 07:46:21.784 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:22.886 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=3528

2026-04-21 07:46:22.895 | INFO     | rid=- | app.domain.llm.gateway:call:235 - 调用 LLM: task=classify, model=doubao-seed-2-0-mini-260215, timeout=8.0s

2026-04-21 07:46:24.315 | INFO     | rid=- | app.domain.llm.gateway:call:255 - LLM 调用成功: task=classify, tokens=3418

